review_cost_eur,global_threshold,global_saving_pct,expected_cost_saving_pct,expected_cost_alerts,guardrail_saving_pct,guardrail_alerts,guardrail_recall
1.0,0.0028356579309853427,69.99444852070546,72.69461558270476,327,72.53415324412144,355,0.7702702702702703
2.0,0.00555392702201392,70.22737772187477,72.45042813681226,170,71.87418717414175,203,0.7702702702702703
5.0,0.6738745598725441,48.86945224110243,71.56452074169835,78,69.68724078538551,115,0.7702702702702703
10.0,0.6738745598725441,45.31081166768251,62.501892549759496,44,58.17924419650424,83,0.7567567567567568
20.0,0.6738745598725441,38.193530520842636,57.22397566148659,28,47.7341811956256,68,0.7297297297297297
