model,val_pr_auc,test_pr_auc,test_roc_auc,test_precision_at_100,recall_at_0.5,precision_at_0.5,tp_at_0.5,fp_at_0.5
Logistic regression,0.7531557383047819,0.74455124313726,0.9812320923054618,0.59,0.9054054054054054,0.02279686968356584,67,2872
Random forest,0.764990308574759,0.8094087804332328,0.9647697704762921,0.59,0.7162162162162162,0.8688524590163934,53,8
XGBoost,0.787230603172653,0.7980083760759223,0.9703419010484228,0.6,0.7567567567567568,0.7567567567567568,56,18
